spec.name	coordx	coordy	ele	route	forest	det061	det062	det063	det071	det072	det073	date061	date062	date063	date071	date072	date073	dur061	dur062	dur063	dur071	dur072	dur073
Crossbill	575	238	950	4.5	38	0	0	1	0	0	0	22	54	77	17	54	66	220	200	215	220	190	200
Crossbill	575	254	550	3.9	49	0	0	0	0	0	0	52	65	76	14	40	63	165	180	180	210	210	215
Crossbill	581	86	1850	5.3	15	0	0	NA	0	0	NA	65	72	NA	66	84	NA	340	340	NA	280	285	NA
Crossbill	581	94	1950	4.8	62	0	0	0	1	0	0	68	72	80	33	53	79	135	235	170	255	240	230
Crossbill	581	118	1050	3.6	82	0	0	0	1	0	0	18	42	67	17	38	67	155	170	175	165	165	150
Crossbill	581	135	2050	4.7	0	0	0	NA	0	0	NA	72	79	NA	69	76	NA	255	240	NA	255	255	NA
Crossbill	581	150	1250	6	29	0	0	0	1	1	0	23	47	70	14	31	70	210	245	225	195	225	210
Crossbill	581	230	750	6.3	5	0	0	1	0	1	0	40	49	70	14	40	60	225	195	225	210	195	195
Crossbill	587	102	2250	3.6	0	0	0	NA	0	0	NA	73	85	NA	54	80	NA	225	200	NA	220	200	NA
Crossbill	587	110	1750	4.1	58	1	0	0	0	1	1	32	67	80	42	64	77	165	120	115	130	120	115
Crossbill	587	126	2250	4.1	0	0	0	NA	0	0	NA	81	95	NA	73	98	NA	125	140	NA	150	140	NA
Crossbill	587	142	1150	2.6	34	0	0	0	0	1	1	32	48	76	26	54	73	210	210	240	240	240	225
Crossbill	587	174	1150	3.3	98	0	0	1	1	1	1	23	36	53	15	37	48	185	190	195	195	195	190
Crossbill	587	190	650	4	33	0	0	0	0	0	0	15	37	55	22	43	63	182	180	180	130	170	170
Crossbill	587	206	550	6.9	53	0	0	0	0	0	0	22	36	50	23	41	56	190	200	215	195	85	230
Crossbill	593	150	1850	6.6	17	0	0	1	0	0	0	55	70	79	43	56	77	280	300	315	285	270	260
Crossbill	593	182	950	5.9	16	0	0	1	0	0	0	15	42	70	29	43	70	220	225	255	205	210	150
Crossbill	593	214	550	4.3	60	0	0	0	1	0	1	17	42	55	22	40	49	170	180	170	180	150	170
Crossbill	593	246	450	6.1	2	0	0	0	0	0	0	33	47	66	23	40	55	225	240	225	225	225	235
Crossbill	599	118	1450	5.5	52	1	0	0	1	1	1	20	50	71	20	48	68	255	240	255	255	240	250
Crossbill	599	126	850	6.9	58	0	0	0	0	0	0	27	42	73	20	39	64	210	200	205	190	205	220
Crossbill	599	142	1450	6.4	50	0	0	0	1	0	0	31	52	73	16	40	66	210	210	210	215	200	210
Crossbill	599	158	1850	4.5	12	0	0	NA	0	1	NA	72	77	NA	52	74	NA	180	180	NA	180	165	NA
Crossbill	599	174	1450	4.5	29	0	0	0	0	0	0	54	69	80	17	37	70	195	210	160	210	195	185
Crossbill	599	206	550	4.9	16	0	0	0	0	0	0	15	40	64	17	30	52	140	140	170	210	195	135
Crossbill	599	222	550	3.2	83	0	0	0	1	0	0	15	31	55	22	40	49	163	151	175	188	166	190
Crossbill	599	254	750	4	79	0	0	0	0	1	0	35	67	75	27	49	66	115	120	120	185	155	180
Crossbill	604	103	1750	6	51	0	0	1	0	1	0	49	65	77	34	55	70	260	250	240	240	300	285
Crossbill	605	126	650	6.5	8	0	0	0	0	0	0	19	40	61	15	33	60	135	140	120	140	135	155
Crossbill	605	166	950	4.2	45	0	1	0	1	1	1	27	50	76	20	43	67	255	250	265	270	270	255
Crossbill	605	230	550	6.3	5	0	0	0	0	0	0	17	36	57	14	29	56	178	160	185	175	169	200
Crossbill	605	246	750	4.8	64	0	0	0	1	0	0	34	54	67	24	50	60	215	225	225	215	215	230
Crossbill	605	262	350	3.4	14	0	0	0	0	0	0	37	72	79	23	54	70	250	245	265	210	200	210
Crossbill	611	110	2750	1.9	0	0	0	NA	0	0	NA	94	101	NA	89	103	NA	115	120	NA	100	105	NA
Crossbill	611	142	2450	4.3	0	0	0	NA	0	0	NA	80	86	NA	77	83	NA	210	220	NA	230	200	NA
Crossbill	611	174	650	5.3	0	0	0	0	0	0	0	20	38	48	43	56	63	150	170	135	225	215	205
Crossbill	611	190	650	5.3	30	0	1	0	0	0	1	19	57	72	14	49	63	240	270	270	255	270	270
Crossbill	611	206	750	6.9	17	0	0	0	0	0	0	17	30	58	17	27	55	180	195	220	180	195	225
Crossbill	611	222	450	4.6	65	0	0	0	1	0	0	15	31	50	15	39	65	170	180	180	210	210	195
Crossbill	611	254	350	6.5	30	0	0	0	0	0	0	15	30	66	17	29	46	255	255	255	240	240	225
Crossbill	611	270	250	4.2	0	0	0	0	0	0	0	29	36	43	21	36	49	230	210	225	250	270	240
Crossbill	616	165	1950	6.2	5	0	0	NA	1	0	NA	77	91	NA	70	84	NA	405	405	NA	360	360	NA
Crossbill	616	247	950	9	55	0	0	0	0	0	0	30	55	69	17	34	65	235	240	255	255	240	270
Crossbill	617	95	2350	9.3	0	0	0	NA	0	0	NA	72	92	NA	68	90	NA	240	300	NA	480	495	NA
Crossbill	617	118	2650	2.3	0	0	0	NA	0	0	NA	94	101	NA	88	102	NA	75	75	NA	85	90	NA
Crossbill	617	134	2450	4.1	0	0	0	NA	0	0	NA	91	94	NA	53	70	NA	180	180	NA	135	90	NA
Crossbill	617	150	1350	5.8	66	0	1	1	0	1	0	47	81	88	37	50	75	315	350	340	250	263	260
Crossbill	617	182	750	5.4	8	0	0	0	0	0	0	25	55	71	17	34	56	240	225	225	265	240	230
Crossbill	617	230	450	7.6	75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Crossbill	617	262	450	8.4	68	0	0	0	0	0	0	25	41	64	15	33	54	250	240	255	230	260	245
Crossbill	623	94	1950	4.6	72	1	1	0	0	0	1	66	80	91	51	80	98	135	120	135	150	150	150
Crossbill	623	126	1550	5.3	95	0	0	0	1	1	1	38	55	65	28	46	63	260	250	255	250	240	240
Crossbill	623	134	1850	5.7	57	0	0	1	0	0	0	43	64	79	43	56	68	300	285	300	300	330	285
Crossbill	623	158	1250	4	64	0	0	0	0	0	0	78	92	NA	37	55	67	405	405	NA	290	260	300
Crossbill	623	174	1350	4.9	44	0	0	0	1	1	1	42	57	69	30	43	57	340	320	300	295	315	320
Crossbill	623	190	850	4.8	44	0	0	0	0	0	0	28	40	45	23	43	55	150	155	195	165	180	165
Crossbill	623	206	750	5.6	34	0	0	1	1	1	1	16	33	68	16	37	63	235	235	270	260	240	275
Crossbill	623	222	650	6.4	21	0	0	0	0	0	0	31	43	57	15	28	49	300	270	285	315	300	330
Crossbill	623	238	450	5.9	23	0	0	0	0	0	0	22	50	65	22	43	67	120	135	115	120	140	150
Crossbill	629	100	2350	8.9	1	0	0	NA	0	0	NA	68	91	NA	68	90	NA	330	NA	NA	530	570	NA
Crossbill	629	118	1650	5	43	0	0	0	1	0	1	32	46	57	26	42	65	300	300	330	270	285	245
Crossbill	629	142	2050	4.1	30	1	1	1	1	0	0	56	70	86	49	54	69	225	255	240	210	240	255
Crossbill	629	198	750	4.8	26	0	0	0	0	0	0	26	55	71	21	50	69	180	210	195	195	200	180
Crossbill	629	214	750	5.6	7	0	0	0	0	0	0	15	55	74	28	44	56	180	195	195	180	195	195
Crossbill	629	230	450	5.7	87	0	0	1	1	1	0	17	31	67	14	36	70	215	225	260	230	200	260
Crossbill	629	246	850	4.8	49	0	0	0	0	0	0	35	45	64	20	48	66	190	255	265	250	255	245
Crossbill	629	262	450	7.6	39	0	0	0	0	0	0	26	47	68	18	46	63	270	230	270	250	270	240
Crossbill	635	126	1050	5.4	93	0	0	0	0	0	0	26	46	62	25	42	53	245	250	255	235	250	245
Crossbill	635	158	1450	4.7	48	0	0	1	1	1	0	29	54	81	42	64	88	310	295	340	275	270	285
Crossbill	635	190	850	5.7	11	0	0	0	1	0	0	41	50	55	26	37	55	270	270	240	270	285	240
Crossbill	635	206	1250	4.8	73	0	1	1	1	1	1	41	44	82	36	43	53	240	265	245	260	250	240
Crossbill	635	254	550	5.9	12	0	0	0	0	0	0	36	51	72	21	42	56	150	240	180	170	160	165
Crossbill	641	110	2750	6.6	0	0	0	NA	0	0	NA	94	97	NA	88	97	NA	300	310	NA	300	305	NA
Crossbill	641	118	2450	4.5	0	0	0	NA	0	0	NA	93	99	NA	90	98	NA	240	300	NA	300	300	NA
Crossbill	641	134	1450	5.6	42	0	0	0	0	0	0	52	66	79	49	63	77	315	310	315	300	295	295
Crossbill	641	182	1450	6	26	0	0	0	1	1	1	73	80	92	49	63	76	240	255	285	300	300	270
Crossbill	641	198	750	3.2	13	0	0	0	0	0	0	17	38	77	23	50	67	115	120	100	105	105	115
Crossbill	641	230	450	4.5	2	0	0	0	0	0	0	22	41	48	15	41	46	80	110	115	125	115	120
Crossbill	643	167	2050	4.4	15	0	0	NA	0	0	NA	82	103	NA	43	82	NA	210	225	NA	210	195	NA
Crossbill	647	118	2050	5.8	54	1	1	0	0	0	0	49	74	83	50	65	72	210	225	210	295	295	315
Crossbill	647	126	1750	5.5	74	0	0	0	1	0	1	54	60	70	53	71	79	255	260	235	280	250	270
Crossbill	647	174	1650	4.3	45	0	0	1	0	1	0	51	56	71	43	56	63	220	240	200	225	215	205
Crossbill	647	182	1950	5.2	0	0	0	NA	0	0	NA	81	87	NA	70	79	NA	190	250	NA	254	260	NA
Crossbill	647	222	650	5.9	61	0	0	0	0	0	0	17	36	66	14	29	49	230	230	230	230	230	230
Crossbill	647	238	550	5.5	33	0	0	0	0	0	0	26	51	73	17	43	84	240	180	240	NA	NA	NA
Crossbill	647	254	650	3.5	54	0	0	0	0	0	0	15	45	71	14	33	55	140	180	150	170	180	165
Crossbill	653	142	1350	3.5	69	0	0	0	0	0	0	51	65	79	43	56	70	225	225	225	250	225	220
Crossbill	653	198	1250	6.2	47	0	0	0	0	0	0	55	66	72	24	60	80	210	225	280	240	210	195
Crossbill	653	214	650	6.5	5	0	0	0	0	0	0	19	45	58	15	32	53	180	185	205	190	190	200
Crossbill	653	262	450	7.7	36	0	0	0	0	0	0	21	33	54	24	40	54	210	285	315	295	330	315
Crossbill	659	134	1950	4.8	60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Crossbill	659	174	750	6.1	72	0	0	0	0	0	0	41	49	67	28	43	57	270	250	255	230	255	240
Crossbill	659	206	1050	4.8	29	0	0	0	1	1	1	43	51	71	14	28	46	270	180	215	240	240	235
Crossbill	659	222	650	5.6	7	0	0	0	1	0	0	21	41	73	25	40	65	210	220	185	225	210	195
Crossbill	659	238	450	4.3	7	0	0	0	0	0	0	17	51	66	15	54	63	240	265	270	265	235	265
Crossbill	659	254	350	4.3	13	0	0	0	0	0	0	16	51	65	29	42	63	255	285	150	150	105	135
Crossbill	659	270	350	8.3	2	0	0	0	0	0	0	22	51	71	14	34	56	200	185	210	205	195	205
Crossbill	665	150	1350	5.4	16	0	0	0	0	0	0	54	73	91	41	49	68	270	255	240	220	230	250
Crossbill	665	198	550	4.1	62	0	0	0	0	0	0	20	37	50	16	43	50	240	240	245	240	250	255
Crossbill	665	214	450	7.1	9	0	0	0	0	0	0	23	37	51	14	29	57	225	220	230	215	235	205
Crossbill	665	246	450	7.9	37	0	0	0	0	0	0	15	49	71	14	45	61	205	225	225	215	240	240
Crossbill	666	181	2150	4.9	0	0	0	NA	0	0	NA	93	98	NA	74	83	NA	180	165	NA	240	225	NA
Crossbill	671	254	550	5.7	71	0	0	0	0	0	0	21	35	70	13	50	75	200	225	210	210	215	235
Crossbill	677	126	1950	4.8	41	0	0	1	1	1	0	72	84	93	72	77	83	425	350	360	300	360	345
Crossbill	677	182	1550	3.4	19	0	0	NA	0	0	NA	77	102	NA	68	96	NA	270	290	NA	300	285	NA
Crossbill	677	214	650	6.7	24	0	0	0	0	1	0	24	56	71	21	49	62	170	180	165	170	170	165
Crossbill	677	230	450	6	10	0	0	0	0	0	0	15	51	55	15	43	50	181	170	150	191	180	175
Crossbill	677	262	450	6.1	0	0	0	0	0	0	0	23	69	76	22	43	69	135	120	130	135	135	130
Crossbill	677	278	450	5.7	70	1	0	0	0	0	0	32	54	72	16	40	64	220	220	205	215	200	210
Crossbill	678	196	1850	3.5	1	0	0	NA	0	0	NA	76	83	NA	32	71	NA	240	240	NA	230	225	NA
Crossbill	680	126	1450	6.6	46	1	1	0	1	1	1	44	50	74	28	42	60	405	400	360	390	380	375
Crossbill	680	138	2250	5.7	0	0	0	NA	0	0	NA	95	97	NA	79	80	NA	390	180	NA	465	395	NA
Crossbill	683	150	1850	5.9	45	0	1	0	0	0	1	64	71	78	50	66	78	180	210	225	220	235	210
Crossbill	683	238	450	4.2	18	0	0	0	0	0	0	22	51	91	33	70	91	200	170	169	169	207	184
Crossbill	683	270	450	7.5	20	0	0	0	0	0	0	19	48	80	16	44	77	225	240	240	225	240	240
Crossbill	683	286	750	5	99	0	0	0	0	1	0	22	45	71	16	56	67	120	145	130	125	125	125
Crossbill	685	157	2050	5.7	0	0	0	NA	0	0	NA	83	99	NA	76	84	NA	200	195	NA	205	210	NA
Crossbill	686	117	1350	6	62	0	0	0	1	0	0	36	57	78	25	46	76	300	300	300	300	270	300
Crossbill	689	166	1850	5.5	5	0	1	NA	0	0	NA	55	71	NA	49	56	NA	225	180	NA	210	185	NA
Crossbill	689	206	450	5	3	0	0	0	0	0	0	34	55	77	21	43	56	180	180	180	180	180	180
Crossbill	689	214	850	6.1	20	0	0	0	0	0	0	22	41	55	22	42	53	180	180	180	295	300	300
Crossbill	689	230	650	4.3	36	0	1	0	1	0	0	20	45	69	16	49	64	250	260	255	255	265	260
Crossbill	689	246	650	5.4	19	0	1	0	0	1	0	22	50	74	21	42	60	210	210	255	210	270	255
Crossbill	691	138	1750	3.6	35	0	0	1	1	1	1	49	59	67	42	49	68	225	200	215	195	180	245
Crossbill	693	153	1550	8.4	78	1	0	1	0	0	0	43	56	65	26	49	68	260	270	270	270	280	285
Crossbill	695	118	850	3.7	87	0	0	0	0	0	0	15	35	52	16	38	52	230	225	240	225	215	245
Crossbill	695	150	1750	4.2	80	1	0	1	1	1	1	55	76	96	48	65	90	270	270	270	240	240	240
Crossbill	695	190	1250	5.8	51	0	0	0	0	0	0	31	41	54	25	33	49	210	240	195	225	220	225
Crossbill	695	198	1850	1.4	0	0	0	NA	0	0	NA	74	81	NA	70	80	NA	196	173	NA	166	175	NA
Crossbill	695	222	950	4.7	21	0	0	0	1	1	1	31	50	64	28	50	57	165	165	150	180	165	165
Crossbill	695	238	550	6.1	11	0	0	0	0	0	0	26	52	72	15	51	89	240	270	270	270	270	270
Crossbill	695	270	450	4.7	29	0	0	0	1	0	0	23	34	66	18	46	68	155	160	155	210	255	210
Crossbill	695	286	450	4	55	0	0	0	0	0	0	15	34	62	16	37	65	180	170	115	140	150	150
Crossbill	696	124	450	7.2	54	0	0	0	0	0	0	15	48	65	16	28	68	315	270	270	255	380	290
Crossbill	697	157	2350	3.4	0	0	0	NA	0	0	NA	85	99	NA	104	118	NA	180	180	NA	120	120	NA
Crossbill	701	166	1850	6.9	32	0	0	NA	0	0	NA	72	87	NA	32	53	NA	210	250	NA	280	315	NA
Crossbill	701	198	1350	4.5	32	0	0	0	0	0	0	56	66	76	26	41	56	195	170	180	205	165	180
Crossbill	701	262	450	5.3	3	0	0	0	0	0	0	21	46	62	21	37	49	125	120	120	125	135	135
Crossbill	704	116	1150	4.3	82	0	0	0	0	0	0	24	43	50	14	36	48	195	170	215	210	195	195
Crossbill	704	128	850	4.6	58	0	0	0	0	0	0	38	55	62	36	51	64	200	205	220	220	215	190
Crossbill	707	150	1950	4.4	36	1	1	0	0	0	1	58	65	93	39	55	70	225	255	225	225	225	225
Crossbill	707	174	1650	5	86	0	1	1	1	0	1	60	74	94	75	89	96	330	335	330	240	285	240
Crossbill	707	222	1250	4.6	75	0	0	0	0	0	1	32	40	73	24	48	68	240	235	265	265	240	280
Crossbill	707	270	350	5.8	23	0	0	0	0	0	0	27	46	54	14	34	60	180	180	180	300	300	270
Crossbill	708	132	2050	3.4	15	0	0	NA	0	1	NA	76	78	NA	70	84	NA	200	215	NA	240	225	NA
Crossbill	708	208	1850	3.8	0	0	0	NA	0	0	NA	84	94	NA	55	90	NA	255	265	NA	285	300	NA
Crossbill	709	157	2250	5.2	0	0	0	NA	0	0	NA	66	72	NA	48	70	NA	305	295	NA	305	290	NA
Crossbill	712	97	750	5	59	0	0	0	0	0	0	26	56	88	21	42	69	240	240	225	230	230	230
Crossbill	712	142	1950	5.5	58	1	1	1	1	1	1	51	63	76	21	50	63	240	250	255	245	250	245
Crossbill	713	102	950	6.2	71	0	0	0	0	0	0	15	36	71	15	42	56	210	200	195	190	200	195
Crossbill	713	150	1650	6.4	43	0	1	1	1	1	0	55	68	83	42	53	72	275	285	305	275	280	315
Crossbill	713	198	2150	1.2	0	0	0	NA	0	0	NA	86	106	NA	69	84	NA	160	185	NA	150	135	NA
Crossbill	713	246	850	6.7	69	0	0	1	0	0	0	29	46	66	24	49	74	210	215	220	300	300	300
Crossbill	713	262	450	4.6	6	0	0	0	0	0	0	20	37	51	14	30	42	205	240	225	210	210	210
Crossbill	713	278	550	5.1	67	0	0	0	0	0	0	19	46	51	16	33	49	300	300	300	300	300	300
Crossbill	715	113	250	5.3	13	0	0	0	0	0	0	31	48	68	31	52	68	225	205	190	210	235	250
Crossbill	717	104	950	5.1	72	0	0	0	0	0	0	21	47	76	24	46	69	215	210	225	194	215	220
Crossbill	719	78	350	5	42	0	0	0	0	0	0	23	43	65	16	37	53	300	300	300	270	270	270
Crossbill	719	102	550	5.3	72	0	0	0	0	0	0	15	31	58	15	31	57	270	255	270	240	270	270
Crossbill	719	118	1350	3.7	79	1	0	0	0	0	0	42	59	67	48	60	72	205	195	220	190	200	185
Crossbill	719	126	250	5.5	47	0	0	0	0	0	0	16	36	50	17	32	51	160	160	180	155	175	190
Crossbill	719	174	2050	4.2	26	0	0	0	0	0	NA	72	100	NA	68	84	NA	300	270	NA	300	300	NA
Crossbill	719	238	1150	6	56	0	0	0	1	1	1	24	55	66	22	42	66	270	240	265	240	250	250
Crossbill	722	87	1450	5.4	20	0	0	0	0	0	0	50	66	NA	30	48	79	240	240	NA	255	270	270
Crossbill	722	135	2050	3	0	0	0	NA	0	0	NA	57	68	NA	49	68	NA	150	180	NA	190	165	NA
Crossbill	724	199	1950	5.4	18	0	0	NA	0	0	NA	56	79	NA	48	70	NA	240	285	NA	270	300	NA
Crossbill	725	166	1650	5	33	0	0	0	0	0	0	42	68	87	40	60	80	285	240	330	270	270	270
Crossbill	725	182	1550	3.3	21	0	0	0	1	0	0	36	55	71	49	56	69	160	175	160	200	215	210
Crossbill	725	214	1350	4	39	0	0	0	0	1	0	41	50	55	22	50	55	300	270	285	290	225	230
Crossbill	725	230	1150	5.3	69	0	1	0	1	1	1	45	68	81	23	49	70	325	360	340	355	415	390
Crossbill	725	246	850	6	42	0	0	0	0	0	0	35	66	72	29	57	70	210	260	255	265	270	230
Crossbill	725	262	650	5.5	19	0	0	0	0	0	0	33	46	68	15	29	57	240	195	210	270	195	180
Crossbill	725	278	550	5.8	98	0	0	0	0	0	0	19	34	50	15	31	43	240	210	240	240	240	240
Crossbill	730	136	1450	3.5	52	0	0	0	0	0	0	23	50	72	22	48	76	195	285	290	300	300	300
Crossbill	731	126	1350	3.8	90	0	0	0	0	0	0	44	58	72	23	42	60	240	240	240	240	240	225
Crossbill	731	174	1250	3.9	10	0	0	0	0	0	0	31	48	73	40	60	80	270	285	285	270	270	270
Crossbill	731	182	850	4.1	50	0	0	1	0	0	1	32	55	74	28	53	70	210	227	249	225	270	240
Crossbill	731	254	550	5.3	54	0	0	0	0	0	0	17	31	45	14	31	45	220	230	230	235	235	240
Crossbill	731	270	450	5.1	9	0	0	0	0	0	0	24	31	37	29	31	50	150	120	150	135	120	150
Crossbill	736	143	1250	5	51	0	0	0	0	0	0	31	58	82	15	49	87	210	205	210	220	210	230
Crossbill	736	200	2050	4.3	0	0	0	NA	0	0	NA	80	97	NA	73	97	NA	300	240	NA	260	250	NA
Crossbill	737	182	750	5.2	35	0	0	0	0	1	1	23	50	79	15	49	67	270	300	315	330	345	270
Crossbill	737	190	1850	3.8	57	1	1	1	0	0	1	71	76	83	56	70	84	300	300	270	315	255	240
Crossbill	737	214	1950	5.5	2	0	0	NA	0	0	NA	76	92	NA	57	69	NA	180	205	NA	200	205	NA
Crossbill	737	246	950	4.9	42	0	0	0	0	0	0	22	34	49	17	32	44	230	220	225	240	240	250
Crossbill	737	262	550	5.8	18	0	0	0	0	0	0	32	48	102	19	31	70	325	320	345	265	250	240
Crossbill	743	158	1850	4.6	12	0	0	NA	0	0	NA	41	65	NA	64	87	NA	240	220	NA	280	235	NA
Crossbill	743	174	1650	3.4	34	0	0	0	0	0	0	41	50	83	31	43	50	140	140	120	165	165	165
Crossbill	743	190	1350	4.5	68	0	0	0	1	0	0	22	37	55	21	35	42	230	255	255	220	250	300
Crossbill	743	206	1350	4.7	63	0	0	0	0	0	0	55	69	93	23	49	66	225	215	210	180	195	195
Crossbill	743	238	1250	3.2	48	1	1	1	1	1	1	52	71	88	27	51	77	270	300	275	350	340	295
Crossbill	749	166	1850	3.5	33	NA	NA	NA	1	0	1	NA	NA	NA	42	67	83	NA	NA	NA	240	210	240
Crossbill	749	182	1150	5	90	1	1	1	1	1	1	20	36	71	22	35	63	240	260	255	230	240	250
Crossbill	749	214	450	5.4	33	0	0	0	0	0	0	19	36	49	19	37	54	270	270	300	240	240	240
Crossbill	749	222	1950	5.2	0	1	0	NA	0	0	NA	79	100	NA	69	91	NA	210	180	NA	225	210	NA
Crossbill	749	230	1050	4	37	0	0	0	1	0	0	41	58	72	22	55	76	180	180	225	210	240	210
Crossbill	749	262	450	3.4	8	0	0	0	0	0	0	15	36	71	15	54	69	145	150	180	135	150	135
Crossbill	755	150	2050	4.7	36	1	1	0	0	1	0	56	79	97	48	72	98	285	295	330	280	335	315
Crossbill	755	166	1850	4.6	66	1	1	1	0	0	0	57	77	95	55	73	84	330	305	320	275	300	290
Crossbill	755	206	950	4.6	56	0	0	0	0	0	0	31	46	56	22	40	49	200	200	220	240	230	245
Crossbill	755	222	450	5.9	0	0	0	0	0	0	0	20	42	69	24	46	67	235	270	260	205	270	270
Crossbill	755	254	950	5	41	0	0	0	1	1	1	18	33	47	18	44	65	225	230	235	270	300	285
Crossbill	761	134	1050	7.7	63	0	0	0	0	0	0	37	59	76	23	47	71	360	360	370	315	330	360
Crossbill	761	158	1950	5.5	0	0	0	NA	0	0	NA	72	79	NA	71	85	NA	210	195	NA	190	180	NA
Crossbill	761	182	1350	4.7	35	0	0	0	0	0	0	38	55	78	33	56	76	180	225	200	210	210	200
Crossbill	761	198	550	7.5	14	0	0	0	0	0	0	30	41	55	22	49	63	240	245	270	215	210	225
Crossbill	761	246	450	5.4	1	0	0	0	0	0	0	33	51	69	25	49	63	210	210	180	240	180	165
Crossbill	767	158	1450	4.5	27	0	0	0	0	0	0	39	68	91	37	63	74	200	210	185	370	310	300
Crossbill	767	182	2250	5.3	0	0	0	NA	0	0	NA	94	101	NA	69	83	NA	225	225	NA	195	225	NA
