Date,Year,PointName,Name Year,Name Year Run,SurveyID,AREA,Route ,Time,Temp (°F),Wind (mph) ,% Cloud,0-3min Passive BACS,4-6min Playback BACS,TotalBACS,TotalNOBO
4/25/2014,2014,J12,J12 2014,J12 2014 2,2014 2,CURE,JR,9:50,70,5,0,0,0,0,0
5/2/2014,2014,J12,J12 2014,J12 2014 3,2014 3,CURE,JR,7:03,55,0,20,0,0,0,0
5/5/2015,2015,J12,J12 2015,J12 2015 1,2015 1,CURE,JR,10:45,74,1,1,0,0,0,0
5/6/2015,2015,J12,J12 2015,J12 2015 2,2015 2,CURE,JR,7:03,55,0,0,0,0,0,0
5/7/2015,2015,J12,J12 2015,J12 2015 3,2015 3,CURE,JR,6:52,65,0,85,0,0,0,0
5/1/2007,2007,J13,J13 2007,J13 2007 1,2007 1,CURE,JR,9:13,75,3,0,0,1,1,0
5/7/2007,2007,J13,J13 2007,J13 2007 2,2007 2,CURE,JR,9:18,58,4,0,0,0,0,0
5/11/2007,2007,J13,J13 2007,J13 2007 3,2007 3,CURE,JR,8:25,65,0,0,0,0,0,0
4/21/2008,2008,J13,J13 2008,J13 2008 1,2008 1,CURE,JR,8:40,60,1,70,0,0,0,0
4/23/2008,2008,J13,J13 2008,J13 2008 2,2008 2,CURE,JR,9:05,70,5,90,0,0,0,0
4/29/2008,2008,J13,J13 2008,J13 2008 3,2008 3,CURE,JR,8:15,50,3,5,0,0,0,0
4/28/2009,2009,J13,J13 2009,J13 2009 1,2009 1,CURE,JR,8:39,68,2,0,1,1,1,0
4/30/2009,2009,J13,J13 2009,J13 2009 2,2009 2,CURE,JR,8:14,60,3,100,0,1,1,1
5/6/2009,2009,J13,J13 2009,J13 2009 3,2009 3,CURE,JR,7:56,65,0,90,0,0,0,0
5/1/2007,2007,J14,J14 2007,J14 2007 1,2007 1,CURE,JR,9:25,75,5,0,2,2,2,1
5/7/2007,2007,J14,J14 2007,J14 2007 2,2007 2,CURE,JR,9:05,58,3,0,0,1,1,0
5/11/2007,2007,J14,J14 2007,J14 2007 3,2007 3,CURE,JR,8:39,65,0,0,1,0,1,0
4/21/2008,2008,J14,J14 2008,J14 2008 1,2008 1,CURE,JR,9:25,60,3,75,0,0,0,0
4/23/2008,2008,J14,J14 2008,J14 2008 2,2008 2,CURE,JR,8:55,70,5,90,1,1,1,0
4/29/2008,2008,J14,J14 2008,J14 2008 3,2008 3,CURE,JR,9:00,55,5,3,0,0,0,0
4/28/2009,2009,J14,J14 2009,J14 2009 1,2009 1,CURE,JR,8:56,68,2,0,0,0,0,1
4/30/2009,2009,J14,J14 2009,J14 2009 2,2009 2,CURE,JR,8:03,60,3,100,0,0,0,0
5/6/2009,2009,J14,J14 2009,J14 2009 3,2009 3,CURE,JR,7:42,65,3,90,0,0,0,1
5/1/2007,2007,J15,J15 2007,J15 2007 1,2007 1,CURE,JR,9:35,75,5,0,1,1,1,0
5/7/2007,2007,J15,J15 2007,J15 2007 2,2007 2,CURE,JR,8:49,58,2,0,0,0,0,0
5/11/2007,2007,J15,J15 2007,J15 2007 3,2007 3,CURE,JR,8:56,65,2,0,0,0,0,0
4/21/2008,2008,J15,J15 2008,J15 2008 1,2008 1,CURE,JR,9:35,60,3,80,0,0,0,0
4/23/2008,2008,J15,J15 2008,J15 2008 2,2008 2,CURE,JR,8:40,65,2,90,0,0,0,0
4/29/2008,2008,J15,J15 2008,J15 2008 3,2008 3,CURE,JR,8:50,55,5,3,0,0,0,0
4/28/2009,2009,J15,J15 2009,J15 2009 1,2009 1,CURE,JR,9:10,69,3,0,0,0,0,1
4/30/2009,2009,J15,J15 2009,J15 2009 2,2009 2,CURE,JR,7:52,60,0,100,0,0,0,0
5/6/2009,2009,J15,J15 2009,J15 2009 3,2009 3,CURE,JR,7:31,64,0,90,0,0,0,0
5/1/2007,2007,J16,J16 2007,J16 2007 1,2007 1,CURE,JR,9:45,75,5,0,0,0,0,0
5/7/2007,2007,J16,J16 2007,J16 2007 2,2007 2,CURE,JR,8:19,58,3,0,0,0,0,0
5/11/2007,2007,J16,J16 2007,J16 2007 3,2007 3,CURE,JR,9:12,70,3,0,0,0,0,0
4/21/2008,2008,J16,J16 2008,J16 2008 1,2008 1,CURE,JR,9:55,65,5,85,0,0,0,0
4/23/2008,2008,J16,J16 2008,J16 2008 2,2008 2,CURE,JR,8:15,65,3,90,1,1,1,0
4/29/2008,2008,J16,J16 2008,J16 2008 3,2008 3,CURE,JR,9:25,55,5,3,0,0,0,0
4/28/2009,2009,J16,J16 2009,J16 2009 1,2009 1,CURE,JR,9:25,70,2,0,0,0,0,0
4/30/2009,2009,J16,J16 2009,J16 2009 2,2009 2,CURE,JR,7:37,59,0,100,0,0,0,0
5/6/2009,2009,J16,J16 2009,J16 2009 3,2009 3,CURE,JR,7:14,63,3,70,0,0,0,0
4/25/2011,2011,J16,J16 2011,J16 2011 1,2011 1,CURE,JR,7:07,70,2,100,0,0,0,0
4/27/2011,2011,J16,J16 2011,J16 2011 2,2011 2,CURE,JR,8:22,73,5,100,0,0,0,0
5/2/2011,2011,J16,J16 2011,J16 2011 3,2011 3,CURE,JR,9:14,73,1,15,0,0,0,0
4/30/2012,2012,J16,J16 2012,J16 2012 1,2012 1,CURE,JR,7:25,65,1,100,1,1,1,0
5/1/2012,2012,J16,J16 2012,J16 2012 2,2012 2,CURE,JR,7:04,,0-3,,0,0,0,1
5/2/2012,2012,J16,J16 2012,J16 2012 3,2012 3,CURE,JR,8:37,68,8,35,1,0,1,1
4/23/2013,2013,J16,J16 2013,J16 2013 1,2013 1,CURE,JR,7:34,50,5,100,0,0,0,0
4/25/2013,2013,J16,J16 2013,J16 2013 2,2013 2,CURE,JR,7:13,,1,,0,0,0,
5/3/2013,2013,J16,J16 2013,J16 2013 3,2013 3,CURE,JR,6:57,58,8,100,0,0,0,0
4/24/2014,2014,J16,J16 2014,J16 2014 1,2014 1,CURE,JR,7:28,48,0,0,1,0,1,0
4/25/2014,2014,J16,J16 2014,J16 2014 2,2014 2,CURE,JR,9:39,70,12,0,0,0,0,0
5/2/2014,2014,J16,J16 2014,J16 2014 3,2014 3,CURE,JR,7:14,55,0,20,0,0,0,0
5/5/2015,2015,J16,J16 2015,J16 2015 1,2015 1,CURE,JR,10:30,73,4,1,0,0,0,0
5/6/2015,2015,J16,J16 2015,J16 2015 2,2015 2,CURE,JR,7:19,55,0,0,1,1,1,0
5/7/2015,2015,J16,J16 2015,J16 2015 3,2015 3,CURE,JR,7:05,65,0,85,1,1,1,0
5/1/2007,2007,J17,J17 2007,J17 2007 1,2007 1,CURE,JR,9:54,75,5,0,0,0,0,0
5/7/2007,2007,J17,J17 2007,J17 2007 2,2007 2,CURE,JR,8:30,58,2,0,0,0,0,0
5/11/2007,2007,J17,J17 2007,J17 2007 3,2007 3,CURE,JR,9:22,70,2,0,3,3,3,0
4/21/2008,2008,J17,J17 2008,J17 2008 1,2008 1,CURE,JR,10:03,65,2,85,0,1,1,0
4/23/2008,2008,J17,J17 2008,J17 2008 2,2008 2,CURE,JR,8:25,65,2,90,0,0,0,0
4/29/2008,2008,J17,J17 2008,J17 2008 3,2008 3,CURE,JR,9:15,55,5,3,0,0,0,0
4/28/2009,2009,J17,J17 2009,J17 2009 1,2009 1,CURE,JR,9:34,71,0,0,0,0,0,1
4/30/2009,2009,J17,J17 2009,J17 2009 2,2009 2,CURE,JR,7:28,59,0,100,0,0,0,0
5/6/2009,2009,J17,J17 2009,J17 2009 3,2009 3,CURE,JR,7:05,62,0,80,0,0,0,0
5/1/2007,2007,J18,J18 2007,J18 2007 1,2007 1,CURE,JR,10:06,75,5,0,1,1,1,0
5/7/2007,2007,J18,J18 2007,J18 2007 2,2007 2,CURE,JR,8:03,58,3,0,1,2,3,0
5/11/2007,2007,J18,J18 2007,J18 2007 3,2007 3,CURE,JR,9:41,70,0,20,2,3,3,0
4/21/2008,2008,J18,J18 2008,J18 2008 1,2008 1,CURE,JR,10:15,65,5,85,0,0,0,0
4/23/2008,2008,J18,J18 2008,J18 2008 2,2008 2,CURE,JR,8:00,65,5,90,0,0,0,0
4/29/2008,2008,J18,J18 2008,J18 2008 3,2008 3,CURE,JR,9:40,55,5,3,0,0,0,0
4/28/2009,2009,J18,J18 2009,J18 2009 1,2009 1,CURE,JR,9:47,72,2,10,0,0,0,0
4/30/2009,2009,J18,J18 2009,J18 2009 2,2009 2,CURE,JR,7:14,59,3,100,0,0,0,0
5/6/2009,2009,J18,J18 2009,J18 2009 3,2009 3,CURE,JR,6:51,62,0,100,0,0,0,0
4/25/2011,2011,J18,J18 2011,J18 2011 1,2011 1,CURE,JR,7:24,70,1,100,0,0,0,0
4/27/2011,2011,J18,J18 2011,J18 2011 2,2011 2,CURE,JR,8:34,73,0,100,1,0,1,0
5/2/2011,2011,J18,J18 2011,J18 2011 3,2011 3,CURE,JR,9:01,72,1,20,0,0,0,0
4/30/2012,2012,J18,J18 2012,J18 2012 1,2012 1,CURE,JR,8:07,69,1,90,0,0,0,0
5/1/2012,2012,J18,J18 2012,J18 2012 2,2012 2,CURE,JR,7:24,,0-3,,0,0,0,0
5/2/2012,2012,J18,J18 2012,J18 2012 3,2012 3,CURE,JR,8:52,69,8,35,0,0,0,0
4/23/2013,2013,J18,J18 2013,J18 2013 1,2013 1,CURE,JR,7:49,51,5,100,0,0,0,0
4/25/2013,2013,J18,J18 2013,J18 2013 2,2013 2,CURE,JR,7:27,,3,,0,0,0,
5/3/2013,2013,J18,J18 2013,J18 2013 3,2013 3,CURE,JR,7:22,60,8,100,0,1,1,0
4/24/2014,2014,J18,J18 2014,J18 2014 1,2014 1,CURE,JR,7:45,49,0,0,0,0,0,0
5/2/2014,2014,J18,J18 2014,J18 2014 2,2014 2,CURE,JR,7:26,55,0,40,0,0,0,0
5/6/2015,2015,J18,J18 2015,J18 2015 1,2015 1,CURE,JR,10:56,80,0,75,0,0,0,0
5/6/2015,2015,J18,J18 2015,J18 2015 2,2015 2,CURE,JR,7:42,57,0,0,0,0,0,0
5/7/2015,2015,J18,J18 2015,J18 2015 3,2015 3,CURE,JR,7:16,65,0,90,1,1,1,1
5/1/2007,2007,J19,J19 2007,J19 2007 1,2007 1,CURE,JR,10:20,75,3,0,0,0,0,0
5/7/2007,2007,J19,J19 2007,J19 2007 2,2007 2,CURE,JR,7:39,58,2,0,0,0,0,0
5/11/2007,2007,J19,J19 2007,J19 2007 3,2007 3,CURE,JR,9:56,75,0,20,0,1,1,0
4/21/2008,2008,J19,J19 2008,J19 2008 1,2008 1,CURE,JR,10:30,65,5,85,1,1,1,0
4/23/2008,2008,J19,J19 2008,J19 2008 2,2008 2,CURE,JR,7:15,60,5,95,2,2,2,0
4/29/2008,2008,J19,J19 2008,J19 2008 3,2008 3,CURE,JR,9:50,60,5,3,0,0,0,0
4/28/2009,2009,J19,J19 2009,J19 2009 1,2009 1,CURE,JR,9:57,74,3,20,0,0,0,0
4/30/2009,2009,J19,J19 2009,J19 2009 2,2009 2,CURE,JR,7:02,59,5,100,0,0,0,0
5/6/2009,2009,J19,J19 2009,J19 2009 3,2009 3,CURE,JR,6:39,62,3,100,0,0,0,1
5/1/2007,2007,J2,J2 2007,J2 2007 1,2007 1,CURE,JR,6:33,65,0,0,1,1,1,0
5/7/2007,2007,J2,J2 2007,J2 2007 2,2007 2,CURE,JR,11:14,58,7,0,2,1,1,0
5/11/2007,2007,J2,J2 2007,J2 2007 3,2007 3,CURE,JR,6:16,60,1,0,1,1,1,0
4/21/2008,2008,J2,J2 2008,J2 2008 1,2008 1,CURE,JR,6:45,45,3,60,0,0,0,0
4/23/2008,2008,J2,J2 2008,J2 2008 2,2008 2,CURE,JR,11:15,70,5,85,0,0,0,0
4/29/2008,2008,J2,J2 2008,J2 2008 3,2008 3,CURE,JR,6:30,50,3,5,0,0,0,0
4/28/2009,2009,J2,J2 2009,J2 2009 1,2009 1,CURE,JR,6:20,58,1,0,0,1,1,1
4/30/2009,2009,J2,J2 2009,J2 2009 2,2009 2,CURE,JR,10:17,65,0,100,1,1,1,0
5/6/2009,2009,J2,J2 2009,J2 2009 3,2009 3,CURE,JR,10:07,76,0,70,2,2,2,0
5/1/2007,2007,J20,J20 2007,J20 2007 1,2007 1,CURE,JR,10:33,80,2,0,0,0,0,0
5/7/2007,2007,J20,J20 2007,J20 2007 2,2007 2,CURE,JR,7:27,55,0,0,0,0,0,0
5/11/2007,2007,J20,J20 2007,J20 2007 3,2007 3,CURE,JR,10:08,75,0,15,0,0,0,0
4/21/2008,2008,J20,J20 2008,J20 2008 1,2008 1,CURE,JR,10:40,65,1,85,1,1,1,0
4/23/2008,2008,J20,J20 2008,J20 2008 2,2008 2,CURE,JR,7:05,60,3,95,1,1,1,0
4/29/2008,2008,J20,J20 2008,J20 2008 3,2008 3,CURE,JR,10:00,60,5,3,0,0,0,0
4/28/2009,2009,J20,J20 2009,J20 2009 1,2009 1,CURE,JR,10:19,77,3,20,0,0,0,0
4/30/2009,2009,J20,J20 2009,J20 2009 2,2009 2,CURE,JR,6:39,58,0,100,0,0,0,0
5/6/2009,2009,J20,J20 2009,J20 2009 3,2009 3,CURE,JR,6:11,62,2,100,0,0,0,0
5/1/2007,2007,J21,J21 2007,J21 2007 1,2007 1,CURE,JR,10:46,80,4,0,0,0,0,0
5/7/2007,2007,J21,J21 2007,J21 2007 2,2007 2,CURE,JR,7:13,55,1,0,0,0,0,0
5/11/2007,2007,J21,J21 2007,J21 2007 3,2007 3,CURE,JR,10:21,75,0,20,0,0,0,0
4/21/2008,2008,J21,J21 2008,J21 2008 1,2008 1,CURE,JR,10:55,65,3,85,0,0,0,0
4/23/2008,2008,J21,J21 2008,J21 2008 2,2008 2,CURE,JR,7:30,60,3,90,0,0,0,0
4/29/2008,2008,J21,J21 2008,J21 2008 3,2008 3,CURE,JR,10:15,65,5,2,0,0,0,0
4/28/2009,2009,J21,J21 2009,J21 2009 1,2009 1,CURE,JR,10:08,76,0,20,0,0,0,0
4/30/2009,2009,J21,J21 2009,J21 2009 2,2009 2,CURE,JR,6:50,59,0,100,0,0,0,0
5/6/2009,2009,J21,J21 2009,J21 2009 3,2009 3,CURE,JR,6:24,62,0,100,0,0,0,0
4/25/2011,2011,J21,J21 2011,J21 2011 1,2011 1,CURE,JR,7:37,70,1,100,0,0,0,0
4/27/2011,2011,J21,J21 2011,J21 2011 2,2011 2,CURE,JR,9:00,75,0,100,0,0,0,0
5/2/2011,2011,J21,J21 2011,J21 2011 3,2011 3,CURE,JR,8:47,71,1,60,0,0,0,0
4/30/2012,2012,J21,J21 2012,J21 2012 1,2012 1,CURE,JR,7:48,68,1,100,0,0,0,1
5/1/2012,2012,J21,J21 2012,J21 2012 2,2012 2,CURE,JR,7:41,,0-3,,0,0,0,0
5/2/2012,2012,J21,J21 2012,J21 2012 3,2012 3,CURE,JR,8:22,68,6,50,0,0,0,0
4/23/2013,2013,J21,J21 2013,J21 2013 1,2013 1,CURE,JR,8:10,51,3,100,0,0,0,0
4/25/2013,2013,J21,J21 2013,J21 2013 2,2013 2,CURE,JR,7:53,,5,,0,0,0,
5/3/2013,2013,J21,J21 2013,J21 2013 3,2013 3,CURE,JR,7:39,60,5,80,0,0,0,0
4/24/2014,2014,J21,J21 2014,J21 2014 1,2014 1,CURE,JR,8:21,52,2,0,0,0,0,0
4/25/2014,2014,J21,J21 2014,J21 2014 2,2014 2,CURE,JR,10:29,74,5,0,0,0,0,0
5/2/2014,2014,J21,J21 2014,J21 2014 3,2014 3,CURE,JR,7:54,58,0,20,1,1,1,0
5/6/2015,2015,J21,J21 2015,J21 2015 1,2015 1,CURE,JR,10:38,80,0,50,0,0,0,0
5/6/2015,2015,J21,J21 2015,J21 2015 2,2015 2,CURE,JR,8:35,57,0,0,0,0,0,0
5/7/2015,2015,J21,J21 2015,J21 2015 3,2015 3,CURE,JR,7:36,65,0,80,0,0,0,0
5/1/2007,2007,J22,J22 2007,J22 2007 1,2007 1,CURE,JR,10:58,80,2,0,0,0,0,0
5/7/2007,2007,J22,J22 2007,J22 2007 2,2007 2,CURE,JR,6:55,55,0,0,0,1,1,0
5/11/2007,2007,J22,J22 2007,J22 2007 3,2007 3,CURE,JR,10:34,75,2,25,0,0,0,1
4/21/2008,2008,J22,J22 2008,J22 2008 1,2008 1,CURE,JR,11:10,70,1,80,0,0,0,0
4/23/2008,2008,J22,J22 2008,J22 2008 2,2008 2,CURE,JR,7:45,60,3,90,0,0,0,0
4/29/2008,2008,J22,J22 2008,J22 2008 3,2008 3,CURE,JR,10:25,65,5,2,0,0,0,0
4/28/2009,2009,J22,J22 2009,J22 2009 1,2009 1,CURE,JR,10:58,82,2,0,0,0,0,0
4/30/2009,2009,J22,J22 2009,J22 2009 2,2009 2,CURE,JR,6:00,58,2,100,0,0,0,0
5/5/2009,2009,J22,J22 2009,J22 2009 3,2009 3,CURE,JR,6:04,61,0,100,0,0,0,0
5/1/2007,2007,J23,J23 2007,J23 2007 1,2007 1,CURE,JR,11:09,80,2,0,0,0,0,0
5/7/2007,2007,J23,J23 2007,J23 2007 2,2007 2,CURE,JR,6:36,55,0,0,1,0,1,0
5/11/2007,2007,J23,J23 2007,J23 2007 3,2007 3,CURE,JR,10:54,75,2,25,3,1,3,0
4/21/2008,2008,J23,J23 2008,J23 2008 1,2008 1,CURE,JR,11:20,70,3,60,0,1,1,0
4/23/2008,2008,J23,J23 2008,J23 2008 2,2008 2,CURE,JR,6:50,60,3,95,1,1,1,0
4/29/2008,2008,J23,J23 2008,J23 2008 3,2008 3,CURE,JR,10:35,65,5,2,0,0,0,0
4/28/2009,2009,J23,J23 2009,J23 2009 1,2009 1,CURE,JR,10:29,79,3,5,0,0,0,0
4/30/2009,2009,J23,J23 2009,J23 2009 2,2009 2,CURE,JR,6:30,58,2,100,0,0,0,0
5/6/2009,2009,J23,J23 2009,J23 2009 3,2009 3,CURE,JR,6:00,62,0,100,0,0,0,0
4/25/2011,2011,J23,J23 2011,J23 2011 1,2011 1,CURE,JR,7:59,72,3,100,0,0,0,0
4/27/2011,2011,J23,J23 2011,J23 2011 2,2011 2,CURE,JR,10:06,75,6,80,0,0,0,0
5/2/2011,2011,J23,J23 2011,J23 2011 3,2011 3,CURE,JR,8:33,70,1,75,0,0,0,0
4/30/2012,2012,J23,J23 2012,J23 2012 1,2012 1,CURE,JR,8:36,71,1,100,3,2,3,1
5/1/2012,2012,J23,J23 2012,J23 2012 2,2012 2,CURE,JR,7:55,,0-3,,2,2,2,1
5/2/2012,2012,J23,J23 2012,J23 2012 3,2012 3,CURE,JR,8:09,67,6,55,2,2,1,1
4/23/2013,2013,J23,J23 2013,J23 2013 1,2013 1,CURE,JR,8:28,51,3,100,0,0,0,0
4/25/2013,2013,J23,J23 2013,J23 2013 2,2013 2,CURE,JR,8:04,,8,,0,0,0,
5/3/2013,2013,J23,J23 2013,J23 2013 3,2013 3,CURE,JR,7:51,60,5,75,1,1,1,0
4/24/2014,2014,J23,J23 2014,J23 2014 1,2014 1,CURE,JR,8:06,51,1,0,0,0,0,0
4/25/2014,2014,J23,J23 2014,J23 2014 2,2014 2,CURE,JR,9:10,69,5,0,0,0,0,0
5/2/2014,2014,J23,J23 2014,J23 2014 3,2014 3,CURE,JR,8:23,60,0,30,0,1,1,0
5/5/2015,2015,J23,J23 2015,J23 2015 1,2015 1,CURE,JR,8:04,56,1,0,0,0,0,0
5/6/2015,2015,J23,J23 2015,J23 2015 2,2015 2,CURE,JR,8:14,57,0,0,0,0,0,0
5/7/2015,2015,J23,J23 2015,J23 2015 3,2015 3,CURE,JR,7:55,65,0,75,0,0,0,0
5/1/2007,2007,J24,J24 2007,J24 2007 1,2007 1,CURE,JR,11:34,80,5,0,3,2,3,0
5/7/2007,2007,J24,J24 2007,J24 2007 2,2007 2,CURE,JR,6:25,55,2,0,2,1,2,0
5/11/2007,2007,J24,J24 2007,J24 2007 3,2007 3,CURE,JR,11:19,75,0,30,2,1,2,0
4/21/2008,2008,J24,J24 2008,J24 2008 1,2008 1,CURE,JR,11:40,70,1,50,2,1,2,0
4/23/2008,2008,J24,J24 2008,J24 2008 2,2008 2,CURE,JR,6:40,60,5,95,2,2,2,0
4/29/2008,2008,J24,J24 2008,J24 2008 3,2008 3,CURE,JR,10:45,65,5,2,0,0,0,0
4/28/2009,2009,J24,J24 2009,J24 2009 1,2009 1,CURE,JR,10:45,80,3,5,0,0,0,0
4/30/2009,2009,J24,J24 2009,J24 2009 2,2009 2,CURE,JR,6:14,58,5,100,0,0,0,0
